pg_id,pg_name,full_address,locality,nearest_bus_stop,distance_to_bmsit_km,distance_to_bus_stop_km,nearest_metro,distance_to_metro_km,monthly_rent,security_deposit,additional_charges,room_type,furnishing_status,bathroom_type,wifi,food_included,ac,laundry,parking,locality_safety_rating,student_community_present,landlord_responsiveness_rating,food_rating,overall_student_rating,source,verification_link,local_image_path,google_place_id,google_maps_url,image_url,image_source,image_attribution,image_source_url
PG011,Elite Stay PG 10,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Aerodrum,1.2,0.6,Yelahanka Metro (Upcoming),6.8,12000,12000,Maintenance included,Dormitory,Fully Furnished,Attached,No,No,No,No,Yes,4.6,Yes,3.8,4.6,4.8,Google Maps,https://maps.google.com/?q=Elite+Stay+PG+10+Chikka+Bommasandra+Yelahanka+Bengaluru,/static/images/pg-listings/11-pg011-elite-stay-pg-10.jpg,,https://www.google.com/maps/search/?api=1&query=Elite+Stay+PG+10+Chikka+Bommasandra%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/11-pg011-elite-stay-pg-10.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG012,Comfort Stay PG 11,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Honnenahalli,1.5,0.5,Yelahanka Metro (Upcoming),8.8,11000,11000,No additional charges,Triple,Semi Furnished,Attached,No,Yes,No,No,No,4.2,Yes,4.1,3.6,3.8,Google Maps,https://maps.google.com/?q=Comfort+Stay+PG+11+Nagenahalli+Yelahanka+Bengaluru,/static/images/pg-listings/12-pg012-comfort-stay-pg-11.jpg,,https://www.google.com/maps/search/?api=1&query=Comfort+Stay+PG+11+Nagenahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/12-pg012-comfort-stay-pg-11.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG013,Annapurna PG 12,"Avalahalli, Bengaluru, Karnataka",Avalahalli,GKVK,1.8,0.2,Yelahanka Metro (Upcoming),6.6,7500,7500,Electricity extra,Double,Semi Furnished,Shared,Yes,Yes,No,No,Yes,4.4,Yes,4.7,3.5,4.2,Google Maps,https://maps.google.com/?q=Annapurna+PG+12+Avalahalli+Yelahanka+Bengaluru,/static/images/pg-listings/13-pg013-annapurna-pg-12.jpg,,https://www.google.com/maps/search/?api=1&query=Annapurna+PG+12+Avalahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/13-pg013-annapurna-pg-12.jpg,Openverse/stocksnap,"""Room Beds"" by Jay Mantri is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/.",https://stocksnap.io/photo/room-beds-8B828310AC
PG014,Sri Sai PG 13,"Bagalur Cross, Bengaluru, Karnataka",Bagalur Cross,GKVK,4.9,0.8,Yelahanka Metro (Upcoming),9.3,9000,9000,No additional charges,Dormitory,Fully Furnished,Attached,Yes,No,Yes,Yes,Yes,4.3,No,4.7,4.1,4.0,NoBroker,https://maps.google.com/?q=Sri+Sai+PG+13+Bagalur+Cross+Yelahanka+Bengaluru,/static/images/pg-listings/14-pg014-sri-sai-pg-13.jpg,,https://www.google.com/maps/search/?api=1&query=Sri+Sai+PG+13+Bagalur+Cross%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/14-pg014-sri-sai-pg-13.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG015,Annapurna PG 14,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Shriramanahalli Gate,4.2,0.5,Yelahanka Metro (Upcoming),9.0,8000,8000,Electricity extra,Single,Fully Furnished,Shared,Yes,Yes,No,Yes,Yes,4.6,Yes,4.8,4.2,4.3,Google Maps,https://maps.google.com/?q=Annapurna+PG+14+Avalahalli+Yelahanka+Bengaluru,/static/images/pg-listings/15-pg015-annapurna-pg-14.jpg,,https://www.google.com/maps/search/?api=1&query=Annapurna+PG+14+Avalahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/15-pg015-annapurna-pg-14.jpg,Openverse/stocksnap,"""Room Beds"" by Jay Mantri is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/.",https://stocksnap.io/photo/room-beds-8B828310AC
PG016,Vivek Hostel 15,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Escorts Yelahanka Road,2.8,0.4,Yelahanka Metro (Upcoming),7.8,8000,8000,Electricity extra,Dormitory,Fully Furnished,Shared,No,No,Yes,Yes,Yes,4.6,Yes,3.6,4.0,4.0,JustDial,https://maps.google.com/?q=Vivek+Hostel+15+Avalahalli+Yelahanka+Bengaluru,/static/images/pg-listings/16-pg016-vivek-hostel-15.jpg,,https://www.google.com/maps/search/?api=1&query=Vivek+Hostel+15+Avalahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/16-pg016-vivek-hostel-15.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG017,Comfort Stay PG 16,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,CRPF,5.2,0.4,Yelahanka Metro (Upcoming),6.7,8000,8000,No additional charges,Single,Semi Furnished,Attached,No,No,Yes,Yes,Yes,4.6,Yes,3.5,3.6,4.3,JustDial,https://maps.google.com/?q=Comfort+Stay+PG+16+Nagenahalli+Yelahanka+Bengaluru,/static/images/pg-listings/17-pg017-comfort-stay-pg-16.jpg,,https://www.google.com/maps/search/?api=1&query=Comfort+Stay+PG+16+Nagenahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/17-pg017-comfort-stay-pg-16.jpg,Openverse/flickr,"""Georgia's dormitory room"" by daveynin is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",https://www.flickr.com/photos/44124370018@N01/52159199984
PG018,Royal Residency PG 17,"Rajanukunte, Bengaluru, Karnataka",Rajanukunte,Anantapura Gate,2.9,0.6,Yelahanka Metro (Upcoming),7.3,11000,11000,No additional charges,Single,Semi Furnished,Shared,No,No,No,Yes,Yes,4.7,No,4.2,4.7,3.8,JustDial,https://maps.google.com/?q=Royal+Residency+PG+17+Rajanukunte+Yelahanka+Bengaluru,/static/images/pg-listings/18-pg018-royal-residency-pg-17.jpg,,https://www.google.com/maps/search/?api=1&query=Royal+Residency+PG+17+Rajanukunte%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/18-pg018-royal-residency-pg-17.jpg,Openverse/flickr,"""Blue and Red Bedroom, Richard H. Carney House, Sault Ste. Marie, Ontario, Canada"" by Billy Wilson Photography is licensed under CC BY-NC 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc/2.0/.",https://www.flickr.com/photos/32132568@N06/54160592744
PG019,SVR Luxury PG 18,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Yelahanka NES Office,3.6,0.3,Yelahanka Metro (Upcoming),9.7,12000,12000,Electricity extra,Single,Semi Furnished,Attached,No,No,Yes,No,No,4.4,No,3.7,3.7,4.2,NoBroker,https://maps.google.com/?q=SVR+Luxury+PG+18+Nagenahalli+Yelahanka+Bengaluru,/static/images/pg-listings/19-pg019-svr-luxury-pg-18.jpg,,https://www.google.com/maps/search/?api=1&query=SVR+Luxury+PG+18+Nagenahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/19-pg019-svr-luxury-pg-18.jpg,Openverse/flickr,"""Principal Bedroom, Richard H. Carney House, Sault Ste. Marie, Ontario, Canada"" by Billy Wilson Photography is licensed under CC BY-NC 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc/2.0/.",https://www.flickr.com/photos/32132568@N06/54279006407
PG020,Vivek Hostel 19,"Attur Layout, Bengaluru, Karnataka",Attur Layout,Nagenahalli Gate,1.7,0.3,Yelahanka Metro (Upcoming),6.5,10000,10000,Electricity extra,Single,Semi Furnished,Shared,Yes,Yes,No,Yes,Yes,4.1,Yes,3.9,4.1,4.2,Google Maps,https://maps.google.com/?q=Vivek+Hostel+19+Attur+Layout+Yelahanka+Bengaluru,/static/images/pg-listings/20-pg020-vivek-hostel-19.jpg,,https://www.google.com/maps/search/?api=1&query=Vivek+Hostel+19+Attur+Layout%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/20-pg020-vivek-hostel-19.jpg,Openverse/flickr,"""Blue and Red Bedroom, Richard H. Carney House, Sault Ste. Marie, Ontario, Canada"" by Billy Wilson Photography is licensed under CC BY-NC 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc/2.0/.",https://www.flickr.com/photos/32132568@N06/54160592744
PG021,Sri Sai PG 20,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Aerodrum,1.6,0.3,Yelahanka Metro (Upcoming),4.7,9000,9000,No additional charges,Dormitory,Fully Furnished,Attached,No,No,No,No,No,4.2,Yes,3.5,4.4,4.5,Google Maps,https://maps.google.com/?q=Sri+Sai+PG+20+Chikka+Bommasandra+Yelahanka+Bengaluru,/static/images/pg-listings/21-pg021-sri-sai-pg-20.jpg,,https://www.google.com/maps/search/?api=1&query=Sri+Sai+PG+20+Chikka+Bommasandra%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/21-pg021-sri-sai-pg-20.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG022,Green Nest PG 21,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Yelahanka Police Station,5.8,0.8,Yelahanka Metro (Upcoming),7.8,6500,6500,No additional charges,Triple,Semi Furnished,Attached,No,No,No,No,No,4.2,No,4.3,4.5,4.5,JustDial,https://maps.google.com/?q=Green+Nest+PG+21+Avalahalli+Yelahanka+Bengaluru,/static/images/pg-listings/22-pg022-green-nest-pg-21.jpg,,https://www.google.com/maps/search/?api=1&query=Green+Nest+PG+21+Avalahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/22-pg022-green-nest-pg-21.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG023,Lakshmi Residency PG 22,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Yelahanka NES Office,4.0,0.2,Yelahanka Metro (Upcoming),4.8,6500,6500,No additional charges,Single,Fully Furnished,Attached,Yes,Yes,No,Yes,No,4.5,Yes,3.8,4.5,4.4,MagicBricks,https://maps.google.com/?q=Lakshmi+Residency+PG+22+Nagenahalli+Yelahanka+Bengaluru,/static/images/pg-listings/23-pg023-lakshmi-residency-pg-22.jpg,,https://www.google.com/maps/search/?api=1&query=Lakshmi+Residency+PG+22+Nagenahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/23-pg023-lakshmi-residency-pg-22.jpg,Openverse/flickr,"""Principal Bedroom, Richard H. Carney House, Sault Ste. Marie, Ontario, Canada"" by Billy Wilson Photography is licensed under CC BY-NC 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc/2.0/.",https://www.flickr.com/photos/32132568@N06/54279006407
PG024,Vivek Hostel 23,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Avalahalli,3.9,0.2,Yelahanka Metro (Upcoming),4.9,8000,8000,Electricity extra,Triple,Semi Furnished,Attached,No,No,No,No,Yes,4.6,No,3.9,4.0,4.2,JustDial,https://maps.google.com/?q=Vivek+Hostel+23+Chikka+Bommasandra+Yelahanka+Bengaluru,/static/images/pg-listings/24-pg024-vivek-hostel-23.jpg,,https://www.google.com/maps/search/?api=1&query=Vivek+Hostel+23+Chikka+Bommasandra%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/24-pg024-vivek-hostel-23.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG025,Sri Sai PG 24,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Singanayakanahalli,3.2,0.5,Yelahanka Metro (Upcoming),5.3,9000,9000,No additional charges,Triple,Fully Furnished,Shared,Yes,No,Yes,Yes,No,3.9,Yes,4.0,4.0,4.6,Google Maps,https://maps.google.com/?q=Sri+Sai+PG+24+Yelahanka+Yelahanka+Bengaluru,/static/images/pg-listings/25-pg025-sri-sai-pg-24.jpg,,https://www.google.com/maps/search/?api=1&query=Sri+Sai+PG+24+Yelahanka%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/25-pg025-sri-sai-pg-24.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG026,Comfort Stay PG 25,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,GKVK,5.4,0.8,Yelahanka Metro (Upcoming),9.7,8500,8500,Maintenance included,Dormitory,Fully Furnished,Shared,No,Yes,Yes,Yes,No,3.9,No,4.8,4.0,4.2,JustDial,https://maps.google.com/?q=Comfort+Stay+PG+25+Nagenahalli+Yelahanka+Bengaluru,/static/images/pg-listings/26-pg026-comfort-stay-pg-25.jpg,,https://www.google.com/maps/search/?api=1&query=Comfort+Stay+PG+25+Nagenahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/26-pg026-comfort-stay-pg-25.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG027,Annapurna PG 26,"Attur Layout, Bengaluru, Karnataka",Attur Layout,Puttena Halli,3.0,0.1,Yelahanka Metro (Upcoming),5.7,8500,8500,Electricity + WiFi extra,Single,Fully Furnished,Attached,No,Yes,Yes,Yes,No,4.4,Yes,3.5,3.8,4.3,MagicBricks,https://maps.google.com/?q=Annapurna+PG+26+Attur+Layout+Yelahanka+Bengaluru,/static/images/pg-listings/27-pg027-annapurna-pg-26.jpg,,https://www.google.com/maps/search/?api=1&query=Annapurna+PG+26+Attur+Layout%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/27-pg027-annapurna-pg-26.jpg,Openverse/flickr,"""Principal Bedroom, Richard H. Carney House, Sault Ste. Marie, Ontario, Canada"" by Billy Wilson Photography is licensed under CC BY-NC 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc/2.0/.",https://www.flickr.com/photos/32132568@N06/54279887786
PG028,Green Nest PG 27,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Puttena Halli,1.5,0.8,Yelahanka Metro (Upcoming),6.7,11000,11000,Electricity + WiFi extra,Dormitory,Fully Furnished,Attached,Yes,No,No,No,No,4.3,Yes,4.0,4.3,4.4,JustDial,https://maps.google.com/?q=Green+Nest+PG+27+Avalahalli+Yelahanka+Bengaluru,/static/images/pg-listings/28-pg028-green-nest-pg-27.jpg,,https://www.google.com/maps/search/?api=1&query=Green+Nest+PG+27+Avalahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/28-pg028-green-nest-pg-27.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG029,Elite Stay PG 28,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Yelahanka Police Station,1.7,0.2,Yelahanka Metro (Upcoming),4.2,8500,8500,No additional charges,Dormitory,Semi Furnished,Attached,No,Yes,No,Yes,Yes,4.0,No,4.0,4.7,4.5,MagicBricks,https://maps.google.com/?q=Elite+Stay+PG+28+Yelahanka+Yelahanka+Bengaluru,/static/images/pg-listings/29-pg029-elite-stay-pg-28.jpg,,https://www.google.com/maps/search/?api=1&query=Elite+Stay+PG+28+Yelahanka%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/29-pg029-elite-stay-pg-28.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG030,Annapurna PG 29,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Yelahanka NES Office,6.4,0.4,Yelahanka Metro (Upcoming),4.7,10000,10000,Electricity extra,Dormitory,Fully Furnished,Shared,No,Yes,Yes,Yes,No,4.0,Yes,3.6,4.2,3.8,Google Maps,https://maps.google.com/?q=Annapurna+PG+29+Yelahanka+Yelahanka+Bengaluru,/static/images/pg-listings/30-pg030-annapurna-pg-29.jpg,,https://www.google.com/maps/search/?api=1&query=Annapurna+PG+29+Yelahanka%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/30-pg030-annapurna-pg-29.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG031,SVR Luxury PG 30,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Aradeshanahalli,4.0,0.1,Yelahanka Metro (Upcoming),7.5,6500,6500,Maintenance included,Single,Fully Furnished,Shared,No,Yes,Yes,Yes,No,4.8,No,3.9,4.7,4.7,MagicBricks,https://maps.google.com/?q=SVR+Luxury+PG+30+Nagenahalli+Yelahanka+Bengaluru,/static/images/pg-listings/31-pg031-svr-luxury-pg-30.jpg,,https://www.google.com/maps/search/?api=1&query=SVR+Luxury+PG+30+Nagenahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/31-pg031-svr-luxury-pg-30.jpg,Openverse/flickr,"""Blue and Red Bedroom, Richard H. Carney House, Sault Ste. Marie, Ontario, Canada"" by Billy Wilson Photography is licensed under CC BY-NC 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc/2.0/.",https://www.flickr.com/photos/32132568@N06/54280131189
PG032,Green Nest PG 31,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Nagenahalli Gate,4.7,0.4,Yelahanka Metro (Upcoming),9.9,7500,7500,Electricity extra,Triple,Semi Furnished,Shared,Yes,No,Yes,No,No,4.1,Yes,4.0,4.1,4.8,JustDial,https://maps.google.com/?q=Green+Nest+PG+31+Yelahanka+Yelahanka+Bengaluru,/static/images/pg-listings/32-pg032-green-nest-pg-31.jpg,,https://www.google.com/maps/search/?api=1&query=Green+Nest+PG+31+Yelahanka%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/32-pg032-green-nest-pg-31.jpg,LoremFlickr,Downloaded via LoremFlickr no-key image source,
PG033,Annapurna PG 32,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,CRPF,4.8,0.6,Yelahanka Metro (Upcoming),7.5,11000,11000,Maintenance included,Single,Fully Furnished,Shared,Yes,Yes,Yes,No,Yes,4.3,No,4.5,4.5,4.6,JustDial,https://maps.google.com/?q=Annapurna+PG+32+Nagenahalli+Yelahanka+Bengaluru,/static/images/pg-listings/33-pg033-annapurna-pg-32.jpg,,https://www.google.com/maps/search/?api=1&query=Annapurna+PG+32+Nagenahalli%2C+Bengaluru%2C+Karnataka,/static/images/pg-listings/33-pg033-annapurna-pg-32.jpg,Openverse/flickr,"""Principal Bedroom, Richard H. Carney House, Sault Ste. Marie, Ontario, Canada"" by Billy Wilson Photography is licensed under CC BY-NC 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc/2.0/.",https://www.flickr.com/photos/32132568@N06/54280316500
