pg_id,pg_name,full_address,locality,nearest_bus_stop,distance_to_bmsit_km,distance_to_bus_stop_km,nearest_metro,distance_to_metro_km,monthly_rent,security_deposit,additional_charges,room_type,furnishing_status,bathroom_type,wifi,food_included,ac,laundry,parking,locality_safety_rating,student_community_present,landlord_responsiveness_rating,food_rating,overall_student_rating,source,verification_link
PG014,Sri Sai PG 13,"Bagalur Cross, Bengaluru, Karnataka",Bagalur Cross,GKVK,4.9,0.8,Yelahanka Metro (Upcoming),9.3,9000,9000,No additional charges,Dormitory,Fully Furnished,Attached,Yes,No,Yes,Yes,Yes,4.3,No,4.7,4.1,4,NoBroker,https://maps.google.com/?q=Sri+Sai+PG+13
PG015,Annapurna PG 14,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Shriramanahalli Gate,4.2,0.5,Yelahanka Metro (Upcoming),9,8000,8000,Electricity extra,Single,Fully Furnished,Shared,Yes,Yes,No,Yes,Yes,4.6,Yes,4.8,4.2,4.3,Google Maps,https://maps.google.com/?q=Annapurna+PG+14
PG016,Vivek Hostel 15,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Escorts Yelahanka Road,2.8,0.4,Yelahanka Metro (Upcoming),7.8,8000,8000,Electricity extra,Dormitory,Fully Furnished,Shared,No,No,Yes,Yes,Yes,4.6,Yes,3.6,4,4,JustDial,https://maps.google.com/?q=Vivek+Hostel+15
PG017,Comfort Stay PG 16,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,CRPF,5.2,0.4,Yelahanka Metro (Upcoming),6.7,8000,8000,No additional charges,Single,Semi Furnished,Attached,No,No,Yes,Yes,Yes,4.6,Yes,3.5,3.6,4.3,JustDial,https://maps.google.com/?q=Comfort+Stay+PG+16
PG018,Royal Residency PG 17,"Rajanukunte, Bengaluru, Karnataka",Rajanukunte,Anantapura Gate,2.9,0.6,Yelahanka Metro (Upcoming),7.3,11000,11000,No additional charges,Single,Semi Furnished,Shared,No,No,No,Yes,Yes,4.7,No,4.2,4.7,3.8,JustDial,https://maps.google.com/?q=Royal+Residency+PG+17
PG019,SVR Luxury PG 18,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Yelahanka NES Office,3.6,0.3,Yelahanka Metro (Upcoming),9.7,12000,12000,Electricity extra,Single,Semi Furnished,Attached,No,No,Yes,No,No,4.4,No,3.7,3.7,4.2,NoBroker,https://maps.google.com/?q=SVR+Luxury+PG+18
PG020,Vivek Hostel 19,"Attur Layout, Bengaluru, Karnataka",Attur Layout,Nagenahalli Gate,1.7,0.3,Yelahanka Metro (Upcoming),6.5,10000,10000,Electricity extra,Single,Semi Furnished,Shared,Yes,Yes,No,Yes,Yes,4.1,Yes,3.9,4.1,4.2,Google Maps,https://maps.google.com/?q=Vivek+Hostel+19
PG021,Sri Sai PG 20,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Aerodrum,1.6,0.3,Yelahanka Metro (Upcoming),4.7,9000,9000,No additional charges,Dormitory,Fully Furnished,Attached,No,No,No,No,No,4.2,Yes,3.5,4.4,4.5,Google Maps,https://maps.google.com/?q=Sri+Sai+PG+20
PG022,Green Nest PG 21,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Yelahanka Police Station,5.8,0.8,Yelahanka Metro (Upcoming),7.8,6500,6500,No additional charges,Triple,Semi Furnished,Attached,No,No,No,No,No,4.2,No,4.3,4.5,4.5,JustDial,https://maps.google.com/?q=Green+Nest+PG+21
PG023,Lakshmi Residency PG 22,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Yelahanka NES Office,4,0.2,Yelahanka Metro (Upcoming),4.8,6500,6500,No additional charges,Single,Fully Furnished,Attached,Yes,Yes,No,Yes,No,4.5,Yes,3.8,4.5,4.4,MagicBricks,https://maps.google.com/?q=Lakshmi+Residency+PG+22
PG024,Vivek Hostel 23,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Avalahalli,3.9,0.2,Yelahanka Metro (Upcoming),4.9,8000,8000,Electricity extra,Triple,Semi Furnished,Attached,No,No,No,No,Yes,4.6,No,3.9,4,4.2,JustDial,https://maps.google.com/?q=Vivek+Hostel+23
PG025,Sri Sai PG 24,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Singanayakanahalli,3.2,0.5,Yelahanka Metro (Upcoming),5.3,9000,9000,No additional charges,Triple,Fully Furnished,Shared,Yes,No,Yes,Yes,No,3.9,Yes,4,4,4.6,Google Maps,https://maps.google.com/?q=Sri+Sai+PG+24
PG026,Comfort Stay PG 25,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,GKVK,5.4,0.8,Yelahanka Metro (Upcoming),9.7,8500,8500,Maintenance included,Dormitory,Fully Furnished,Shared,No,Yes,Yes,Yes,No,3.9,No,4.8,4,4.2,JustDial,https://maps.google.com/?q=Comfort+Stay+PG+25
PG027,Annapurna PG 26,"Attur Layout, Bengaluru, Karnataka",Attur Layout,Puttena Halli,3,0.1,Yelahanka Metro (Upcoming),5.7,8500,8500,Electricity + WiFi extra,Single,Fully Furnished,Attached,No,Yes,Yes,Yes,No,4.4,Yes,3.5,3.8,4.3,MagicBricks,https://maps.google.com/?q=Annapurna+PG+26
PG028,Green Nest PG 27,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Puttena Halli,1.5,0.8,Yelahanka Metro (Upcoming),6.7,11000,11000,Electricity + WiFi extra,Dormitory,Fully Furnished,Attached,Yes,No,No,No,No,4.3,Yes,4,4.3,4.4,JustDial,https://maps.google.com/?q=Green+Nest+PG+27
PG029,Elite Stay PG 28,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Yelahanka Police Station,1.7,0.2,Yelahanka Metro (Upcoming),4.2,8500,8500,No additional charges,Dormitory,Semi Furnished,Attached,No,Yes,No,Yes,Yes,4,No,4,4.7,4.5,MagicBricks,https://maps.google.com/?q=Elite+Stay+PG+28
PG030,Annapurna PG 29,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Yelahanka NES Office,6.4,0.4,Yelahanka Metro (Upcoming),4.7,10000,10000,Electricity extra,Dormitory,Fully Furnished,Shared,No,Yes,Yes,Yes,No,4,Yes,3.6,4.2,3.8,Google Maps,https://maps.google.com/?q=Annapurna+PG+29
PG031,SVR Luxury PG 30,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Aradeshanahalli,4,0.1,Yelahanka Metro (Upcoming),7.5,6500,6500,Maintenance included,Single,Fully Furnished,Shared,No,Yes,Yes,Yes,No,4.8,No,3.9,4.7,4.7,MagicBricks,https://maps.google.com/?q=SVR+Luxury+PG+30
PG032,Green Nest PG 31,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Nagenahalli Gate,4.7,0.4,Yelahanka Metro (Upcoming),9.9,7500,7500,Electricity extra,Triple,Semi Furnished,Shared,Yes,No,Yes,No,No,4.1,Yes,4,4.1,4.8,JustDial,https://maps.google.com/?q=Green+Nest+PG+31
PG033,Annapurna PG 32,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,CRPF,4.8,0.6,Yelahanka Metro (Upcoming),7.5,11000,11000,Maintenance included,Single,Fully Furnished,Shared,Yes,Yes,Yes,No,Yes,4.3,No,4.5,4.5,4.6,JustDial,https://maps.google.com/?q=Annapurna+PG+32
PG034,Sri Sai PG 33,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Yelahanka Police Station,1.7,0.8,Yelahanka Metro (Upcoming),7.5,7500,7500,Maintenance included,Triple,Fully Furnished,Shared,No,No,Yes,No,No,4.1,Yes,4.1,3.6,4.8,MagicBricks,https://maps.google.com/?q=Sri+Sai+PG+33
PG035,Green Nest PG 34,"Bagalur Cross, Bengaluru, Karnataka",Bagalur Cross,CRPF,0.8,0.7,Yelahanka Metro (Upcoming),9.7,12000,12000,No additional charges,Dormitory,Fully Furnished,Attached,Yes,Yes,No,No,Yes,4.9,Yes,3.7,4.5,4.1,MagicBricks,https://maps.google.com/?q=Green+Nest+PG+34
PG036,Comfort Stay PG 35,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Aradeshanahalli,6.3,0.2,Yelahanka Metro (Upcoming),6.1,8500,8500,Maintenance included,Single,Fully Furnished,Attached,No,Yes,No,No,No,4.1,Yes,4.2,4.7,3.9,MagicBricks,https://maps.google.com/?q=Comfort+Stay+PG+35
PG037,Comfort Stay PG 36,"Rajanukunte, Bengaluru, Karnataka",Rajanukunte,Avalahalli,4,0.6,Yelahanka Metro (Upcoming),9.9,9000,9000,Electricity + WiFi extra,Dormitory,Semi Furnished,Shared,No,No,Yes,Yes,Yes,4.7,Yes,3.6,4.8,4.9,JustDial,https://maps.google.com/?q=Comfort+Stay+PG+36
PG038,Vivek Hostel 37,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Aradeshanahalli,2.6,0.5,Yelahanka Metro (Upcoming),4.3,9000,9000,Electricity + WiFi extra,Triple,Semi Furnished,Attached,Yes,Yes,Yes,Yes,No,4.5,No,3.6,3.8,4,MagicBricks,https://maps.google.com/?q=Vivek+Hostel+37
PG039,Annapurna PG 38,"Bagalur Cross, Bengaluru, Karnataka",Bagalur Cross,Puttena Halli,1.8,0.8,Yelahanka Metro (Upcoming),4.6,7000,7000,No additional charges,Dormitory,Semi Furnished,Attached,No,Yes,No,Yes,Yes,4.2,Yes,4.5,3.8,4.8,Google Maps,https://maps.google.com/?q=Annapurna+PG+38
PG040,Lakshmi Residency PG 39,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Wheel And Axle Plant,5.2,0.7,Yelahanka Metro (Upcoming),8.8,9000,9000,Electricity extra,Triple,Semi Furnished,Attached,Yes,Yes,Yes,Yes,Yes,4.4,No,4.4,4.5,4.4,JustDial,https://maps.google.com/?q=Lakshmi+Residency+PG+39
PG041,SVR Luxury PG 40,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Singanayakanahalli,3.2,0.6,Yelahanka Metro (Upcoming),5.8,8000,8000,No additional charges,Dormitory,Semi Furnished,Shared,Yes,Yes,No,No,Yes,4,Yes,4.3,4.2,4.1,Google Maps,https://maps.google.com/?q=SVR+Luxury+PG+40
PG042,Lakshmi Residency PG 41,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Aradeshanahalli,5.7,0.7,Yelahanka Metro (Upcoming),6.5,11000,11000,Maintenance included,Triple,Fully Furnished,Shared,No,Yes,No,Yes,Yes,4,No,4.2,3.8,4.4,NoBroker,https://maps.google.com/?q=Lakshmi+Residency+PG+41
PG043,Elite Stay PG 42,"Bagalur Cross, Bengaluru, Karnataka",Bagalur Cross,Singanayakanahalli,3,0.3,Yelahanka Metro (Upcoming),7.1,8500,8500,Maintenance included,Double,Fully Furnished,Shared,Yes,Yes,Yes,Yes,Yes,4.1,No,4.2,3.5,3.9,Google Maps,https://maps.google.com/?q=Elite+Stay+PG+42
PG044,Sri Sai PG 43,"Bagalur Cross, Bengaluru, Karnataka",Bagalur Cross,CRPF,4.1,0.2,Yelahanka Metro (Upcoming),8.3,9000,9000,Electricity + WiFi extra,Double,Fully Furnished,Shared,Yes,No,Yes,Yes,No,4,No,4.7,3.7,4.4,NoBroker,https://maps.google.com/?q=Sri+Sai+PG+43
PG045,Lakshmi Residency PG 44,"Avalahalli, Bengaluru, Karnataka",Avalahalli,GKVK,6.2,0.7,Yelahanka Metro (Upcoming),9,7500,7500,Electricity extra,Single,Semi Furnished,Shared,No,Yes,No,Yes,No,3.9,Yes,4.6,4.7,4.2,JustDial,https://maps.google.com/?q=Lakshmi+Residency+PG+44
PG046,Vivek Hostel 45,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Yelahanka NES Office,1.9,0.3,Yelahanka Metro (Upcoming),8.9,8500,8500,Electricity + WiFi extra,Dormitory,Semi Furnished,Shared,Yes,Yes,Yes,Yes,No,4.2,No,4.2,4.2,4.3,Google Maps,https://maps.google.com/?q=Vivek+Hostel+45
PG047,SVR Luxury PG 46,"Bagalur Cross, Bengaluru, Karnataka",Bagalur Cross,Aerodrum,0.3,0.7,Yelahanka Metro (Upcoming),7.2,11000,11000,No additional charges,Dormitory,Fully Furnished,Shared,No,Yes,No,Yes,No,4.1,No,4.8,4.3,4,JustDial,https://maps.google.com/?q=SVR+Luxury+PG+46
PG048,Elite Stay PG 47,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Avalahalli,4.8,0.5,Yelahanka Metro (Upcoming),9,7500,7500,Maintenance included,Single,Fully Furnished,Shared,Yes,No,Yes,Yes,No,4.4,Yes,4.3,4.4,4.7,NoBroker,https://maps.google.com/?q=Elite+Stay+PG+47
PG049,Comfort Stay PG 48,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Anantapura Gate,1.7,0.2,Yelahanka Metro (Upcoming),4.7,8500,8500,Electricity + WiFi extra,Single,Fully Furnished,Attached,Yes,No,Yes,Yes,No,4.5,Yes,3.9,3.6,3.9,Google Maps,https://maps.google.com/?q=Comfort+Stay+PG+48
PG050,Sri Sai PG 49,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Shriramanahalli Gate,5.7,0.8,Yelahanka Metro (Upcoming),6.8,9000,9000,Maintenance included,Triple,Semi Furnished,Attached,No,No,No,No,Yes,4,No,4.6,4.2,4.6,NoBroker,https://maps.google.com/?q=Sri+Sai+PG+49
PG051,Annapurna PG 50,"Avalahalli, Bengaluru, Karnataka",Avalahalli,GKVK,4.3,0.5,Yelahanka Metro (Upcoming),8.2,7000,7000,Electricity extra,Dormitory,Fully Furnished,Shared,Yes,No,Yes,No,No,4.7,Yes,4.2,4,4.8,Google Maps,https://maps.google.com/?q=Annapurna+PG+50
PG052,SVR Luxury PG 51,"Yelahanka, Bengaluru, Karnataka",Yelahanka,GKVK,5.9,0.9,Yelahanka Metro (Upcoming),5.3,12000,12000,Electricity extra,Triple,Fully Furnished,Attached,No,Yes,Yes,No,No,3.9,Yes,4.8,4.3,3.9,MagicBricks,https://maps.google.com/?q=SVR+Luxury+PG+51
PG053,Vivek Hostel 52,"Yelahanka, Bengaluru, Karnataka",Yelahanka,Shriramanahalli Gate,4.6,0.4,Yelahanka Metro (Upcoming),9.8,12000,12000,Maintenance included,Triple,Semi Furnished,Attached,Yes,No,Yes,Yes,No,4.4,Yes,4.4,4,4.3,JustDial,https://maps.google.com/?q=Vivek+Hostel+52
PG054,Royal Residency PG 53,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,GKVK,1.6,0.1,Yelahanka Metro (Upcoming),7.7,12000,12000,Maintenance included,Triple,Semi Furnished,Attached,No,Yes,No,Yes,Yes,3.8,Yes,4.3,4.7,4.1,NoBroker,https://maps.google.com/?q=Royal+Residency+PG+53
PG055,Royal Residency PG 54,"Attur Layout, Bengaluru, Karnataka",Attur Layout,Aerodrum,5.3,0.2,Yelahanka Metro (Upcoming),7.1,10000,10000,Electricity + WiFi extra,Triple,Fully Furnished,Shared,No,No,No,Yes,Yes,4.6,No,4,3.7,3.9,JustDial,https://maps.google.com/?q=Royal+Residency+PG+54
PG056,Comfort Stay PG 55,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Singanayakanahalli,0.4,0.1,Yelahanka Metro (Upcoming),9.8,11000,11000,No additional charges,Triple,Semi Furnished,Attached,No,Yes,Yes,No,Yes,4.3,Yes,4.1,4.4,4.2,Google Maps,https://maps.google.com/?q=Comfort+Stay+PG+55
PG057,Comfort Stay PG 56,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Suradenapura Gate,4.4,0.6,Yelahanka Metro (Upcoming),9.9,9000,9000,Maintenance included,Triple,Semi Furnished,Attached,Yes,No,Yes,Yes,Yes,4.3,Yes,4.2,4.4,4.3,MagicBricks,https://maps.google.com/?q=Comfort+Stay+PG+56
PG058,Comfort Stay PG 57,"Attur Layout, Bengaluru, Karnataka",Attur Layout,Yelahanka Police Station,0.6,0.7,Yelahanka Metro (Upcoming),8,8000,8000,Maintenance included,Single,Semi Furnished,Shared,No,Yes,No,Yes,No,4.6,No,4.4,4.7,4.5,JustDial,https://maps.google.com/?q=Comfort+Stay+PG+57
PG059,Vivek Hostel 58,"Attur Layout, Bengaluru, Karnataka",Attur Layout,Nagenahalli Gate,6,0.2,Yelahanka Metro (Upcoming),9.7,9000,9000,Electricity + WiFi extra,Double,Fully Furnished,Attached,Yes,Yes,No,No,Yes,4.6,No,3.8,4.7,4.6,NoBroker,https://maps.google.com/?q=Vivek+Hostel+58
PG060,Vivek Hostel 59,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Nagenahalli Gate,2.8,0.9,Yelahanka Metro (Upcoming),8.4,10000,10000,Electricity + WiFi extra,Single,Semi Furnished,Attached,Yes,Yes,Yes,No,Yes,4.1,Yes,4.5,3.8,4.4,NoBroker,https://maps.google.com/?q=Vivek+Hostel+59
PG061,Royal Residency PG 60,"Rajanukunte, Bengaluru, Karnataka",Rajanukunte,Singanayakanahalli,5.7,0.8,Yelahanka Metro (Upcoming),4.9,9000,9000,Maintenance included,Triple,Semi Furnished,Shared,Yes,No,Yes,No,No,4.3,No,4,4.4,4.2,JustDial,https://maps.google.com/?q=Royal+Residency+PG+60
PG062,Green Nest PG 61,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Aradeshanahalli,2.5,0.6,Yelahanka Metro (Upcoming),8.7,7000,7000,Electricity extra,Dormitory,Fully Furnished,Attached,Yes,Yes,No,Yes,Yes,4.2,No,4.8,3.5,4.9,JustDial,https://maps.google.com/?q=Green+Nest+PG+61
PG063,Elite Stay PG 62,"Yelahanka, Bengaluru, Karnataka",Yelahanka,CRPF,6.1,0.3,Yelahanka Metro (Upcoming),7.9,8000,8000,No additional charges,Single,Semi Furnished,Attached,No,Yes,No,No,Yes,4.4,Yes,3.5,4.3,4.9,JustDial,https://maps.google.com/?q=Elite+Stay+PG+62
PG064,Comfort Stay PG 63,"Bagalur Cross, Bengaluru, Karnataka",Bagalur Cross,Nagenahalli Gate,5,0.9,Yelahanka Metro (Upcoming),7.7,11000,11000,No additional charges,Dormitory,Fully Furnished,Shared,Yes,No,Yes,Yes,Yes,4.6,Yes,3.8,4.6,4.5,JustDial,https://maps.google.com/?q=Comfort+Stay+PG+63
PG065,Sri Sai PG 64,"Avalahalli, Bengaluru, Karnataka",Avalahalli,Anantapura Gate,3.5,0.5,Yelahanka Metro (Upcoming),8.8,10000,10000,Electricity + WiFi extra,Dormitory,Semi Furnished,Attached,No,No,Yes,Yes,No,4.8,No,4.2,4.4,4.7,Google Maps,https://maps.google.com/?q=Sri+Sai+PG+64
PG066,SVR Luxury PG 65,"Attur Layout, Bengaluru, Karnataka",Attur Layout,Avalahalli,6,0.1,Yelahanka Metro (Upcoming),9.9,8000,8000,No additional charges,Double,Semi Furnished,Attached,No,No,No,Yes,Yes,4.2,Yes,4.4,3.9,4.4,NoBroker,https://maps.google.com/?q=SVR+Luxury+PG+65
PG067,Vivek Hostel 66,"Bagalur Cross, Bengaluru, Karnataka",Bagalur Cross,Yelahanka NES Office,1.4,0.3,Yelahanka Metro (Upcoming),8.5,10000,10000,Maintenance included,Double,Semi Furnished,Shared,No,Yes,No,Yes,Yes,3.9,No,4.3,3.9,3.9,NoBroker,https://maps.google.com/?q=Vivek+Hostel+66
PG068,Annapurna PG 67,"Nagenahalli, Bengaluru, Karnataka",Nagenahalli,Anantapura Gate,5.6,0.1,Yelahanka Metro (Upcoming),9.5,7000,7000,Electricity extra,Triple,Fully Furnished,Attached,Yes,No,Yes,No,No,4.9,No,3.6,3.9,4.9,MagicBricks,https://maps.google.com/?q=Annapurna+PG+67
PG069,Royal Residency PG 68,"Chikka Bommasandra, Bengaluru, Karnataka",Chikka Bommasandra,Rajanukunte,3.1,0.2,Yelahanka Metro (Upcoming),5.3,12000,12000,Electricity + WiFi extra,Single,Fully Furnished,Attached,Yes,No,Yes,Yes,Yes,4.5,Yes,3.9,4,4,MagicBricks,https://maps.google.com/?q=Royal+Residency+PG+68
PG070,Elite Stay PG 69,"Rajanukunte, Bengaluru, Karnataka",Rajanukunte,Honnenahalli,0.6,0.4,Yelahanka Metro (Upcoming),8.1,12000,12000,No additional charges,Single,Semi Furnished,Attached,Yes,Yes,No,No,Yes,4.7,Yes,3.6,3.9,4.3,MagicBricks,https://maps.google.com/?q=Elite+Stay+PG+69
