"pg_id","pg_name","full_address","locality","nearest_bus_stop","distance_to_bmsit_km","distance_to_bus_stop_km","nearest_metro","distance_to_metro_km","monthly_rent","security_deposit","additional_charges","room_type","furnishing_status","bathroom_type","wifi","food_included","ac","laundry","parking","locality_safety_rating","student_community_present","landlord_responsiveness_rating","food_rating","overall_student_rating","source","verification_link","local_image_path","google_place_id","google_maps_url","image_url","image_source","image_attribution"
"PG011","Elite Stay PG 10","Chikka Bommasandra, Bengaluru, Karnataka","Chikka Bommasandra","Aerodrum","1.2","0.6","Yelahanka Metro (Upcoming)","6.8","12000","12000","Maintenance included","Dormitory","Fully Furnished","Attached","No","No","No","No","Yes","4.6","Yes","3.8","4.6","4.8","Google Maps","https://maps.google.com/?q=Elite+Stay+PG+10+Chikka+Bommasandra+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Elite%20Stay%20PG%2010%20Chikka%20Bommasandra%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG012","Comfort Stay PG 11","Nagenahalli, Bengaluru, Karnataka","Nagenahalli","Honnenahalli","1.5","0.5","Yelahanka Metro (Upcoming)","8.8","11000","11000","No additional charges","Triple","Semi Furnished","Attached","No","Yes","No","No","No","4.2","Yes","4.1","3.6","3.8","Google Maps","https://maps.google.com/?q=Comfort+Stay+PG+11+Nagenahalli+Yelahanka+Bengaluru","/static/images/triple.png","","https://www.google.com/maps/search/?api=1&query=Comfort%20Stay%20PG%2011%20Nagenahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/triple.png","Local fallback",""
"PG013","Annapurna PG 12","Avalahalli, Bengaluru, Karnataka","Avalahalli","GKVK","1.8","0.2","Yelahanka Metro (Upcoming)","6.6","7500","7500","Electricity extra","Double","Semi Furnished","Shared","Yes","Yes","No","No","Yes","4.4","Yes","4.7","3.5","4.2","Google Maps","https://maps.google.com/?q=Annapurna+PG+12+Avalahalli+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Annapurna%20PG%2012%20Avalahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG014","Sri Sai PG 13","Bagalur Cross, Bengaluru, Karnataka","Bagalur Cross","GKVK","4.9","0.8","Yelahanka Metro (Upcoming)","9.3","9000","9000","No additional charges","Dormitory","Fully Furnished","Attached","Yes","No","Yes","Yes","Yes","4.3","No","4.7","4.1","4.0","NoBroker","https://maps.google.com/?q=Sri+Sai+PG+13+Bagalur+Cross+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20PG%2013%20Bagalur%20Cross%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG015","Annapurna PG 14","Avalahalli, Bengaluru, Karnataka","Avalahalli","Shriramanahalli Gate","4.2","0.5","Yelahanka Metro (Upcoming)","9.0","8000","8000","Electricity extra","Single","Fully Furnished","Shared","Yes","Yes","No","Yes","Yes","4.6","Yes","4.8","4.2","4.3","Google Maps","https://maps.google.com/?q=Annapurna+PG+14+Avalahalli+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=Annapurna%20PG%2014%20Avalahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG016","Vivek Hostel 15","Avalahalli, Bengaluru, Karnataka","Avalahalli","Escorts Yelahanka Road","2.8","0.4","Yelahanka Metro (Upcoming)","7.8","8000","8000","Electricity extra","Dormitory","Fully Furnished","Shared","No","No","Yes","Yes","Yes","4.6","Yes","3.6","4.0","4.0","JustDial","https://maps.google.com/?q=Vivek+Hostel+15+Avalahalli+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Vivek%20Hostel%2015%20Avalahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG017","Comfort Stay PG 16","Nagenahalli, Bengaluru, Karnataka","Nagenahalli","CRPF","5.2","0.4","Yelahanka Metro (Upcoming)","6.7","8000","8000","No additional charges","Single","Semi Furnished","Attached","No","No","Yes","Yes","Yes","4.6","Yes","3.5","3.6","4.3","JustDial","https://maps.google.com/?q=Comfort+Stay+PG+16+Nagenahalli+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=Comfort%20Stay%20PG%2016%20Nagenahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG018","Royal Residency PG 17","Rajanukunte, Bengaluru, Karnataka","Rajanukunte","Anantapura Gate","2.9","0.6","Yelahanka Metro (Upcoming)","7.3","11000","11000","No additional charges","Single","Semi Furnished","Shared","No","No","No","Yes","Yes","4.7","No","4.2","4.7","3.8","JustDial","https://maps.google.com/?q=Royal+Residency+PG+17+Rajanukunte+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=Royal%20Residency%20PG%2017%20Rajanukunte%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG019","SVR Luxury PG 18","Nagenahalli, Bengaluru, Karnataka","Nagenahalli","Yelahanka NES Office","3.6","0.3","Yelahanka Metro (Upcoming)","9.7","12000","12000","Electricity extra","Single","Semi Furnished","Attached","No","No","Yes","No","No","4.4","No","3.7","3.7","4.2","NoBroker","https://maps.google.com/?q=SVR+Luxury+PG+18+Nagenahalli+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=SVR%20Luxury%20PG%2018%20Nagenahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG020","Vivek Hostel 19","Attur Layout, Bengaluru, Karnataka","Attur Layout","Nagenahalli Gate","1.7","0.3","Yelahanka Metro (Upcoming)","6.5","10000","10000","Electricity extra","Single","Semi Furnished","Shared","Yes","Yes","No","Yes","Yes","4.1","Yes","3.9","4.1","4.2","Google Maps","https://maps.google.com/?q=Vivek+Hostel+19+Attur+Layout+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=Vivek%20Hostel%2019%20Attur%20Layout%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG021","Sri Sai PG 20","Chikka Bommasandra, Bengaluru, Karnataka","Chikka Bommasandra","Aerodrum","1.6","0.3","Yelahanka Metro (Upcoming)","4.7","9000","9000","No additional charges","Dormitory","Fully Furnished","Attached","No","No","No","No","No","4.2","Yes","3.5","4.4","4.5","Google Maps","https://maps.google.com/?q=Sri+Sai+PG+20+Chikka+Bommasandra+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20PG%2020%20Chikka%20Bommasandra%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG022","Green Nest PG 21","Avalahalli, Bengaluru, Karnataka","Avalahalli","Yelahanka Police Station","5.8","0.8","Yelahanka Metro (Upcoming)","7.8","6500","6500","No additional charges","Triple","Semi Furnished","Attached","No","No","No","No","No","4.2","No","4.3","4.5","4.5","JustDial","https://maps.google.com/?q=Green+Nest+PG+21+Avalahalli+Yelahanka+Bengaluru","/static/images/triple.png","","https://www.google.com/maps/search/?api=1&query=Green%20Nest%20PG%2021%20Avalahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/triple.png","Local fallback",""
"PG023","Lakshmi Residency PG 22","Nagenahalli, Bengaluru, Karnataka","Nagenahalli","Yelahanka NES Office","4.0","0.2","Yelahanka Metro (Upcoming)","4.8","6500","6500","No additional charges","Single","Fully Furnished","Attached","Yes","Yes","No","Yes","No","4.5","Yes","3.8","4.5","4.4","MagicBricks","https://maps.google.com/?q=Lakshmi+Residency+PG+22+Nagenahalli+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=Lakshmi%20Residency%20PG%2022%20Nagenahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG024","Vivek Hostel 23","Chikka Bommasandra, Bengaluru, Karnataka","Chikka Bommasandra","Avalahalli","3.9","0.2","Yelahanka Metro (Upcoming)","4.9","8000","8000","Electricity extra","Triple","Semi Furnished","Attached","No","No","No","No","Yes","4.6","No","3.9","4.0","4.2","JustDial","https://maps.google.com/?q=Vivek+Hostel+23+Chikka+Bommasandra+Yelahanka+Bengaluru","/static/images/triple.png","","https://www.google.com/maps/search/?api=1&query=Vivek%20Hostel%2023%20Chikka%20Bommasandra%2C%20Bengaluru%2C%20Karnataka","/static/images/triple.png","Local fallback",""
"PG025","Sri Sai PG 24","Yelahanka, Bengaluru, Karnataka","Yelahanka","Singanayakanahalli","3.2","0.5","Yelahanka Metro (Upcoming)","5.3","9000","9000","No additional charges","Triple","Fully Furnished","Shared","Yes","No","Yes","Yes","No","3.9","Yes","4.0","4.0","4.6","Google Maps","https://maps.google.com/?q=Sri+Sai+PG+24+Yelahanka+Yelahanka+Bengaluru","/static/images/triple.png","","https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20PG%2024%20Yelahanka%2C%20Bengaluru%2C%20Karnataka","/static/images/triple.png","Local fallback",""
"PG026","Comfort Stay PG 25","Nagenahalli, Bengaluru, Karnataka","Nagenahalli","GKVK","5.4","0.8","Yelahanka Metro (Upcoming)","9.7","8500","8500","Maintenance included","Dormitory","Fully Furnished","Shared","No","Yes","Yes","Yes","No","3.9","No","4.8","4.0","4.2","JustDial","https://maps.google.com/?q=Comfort+Stay+PG+25+Nagenahalli+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Comfort%20Stay%20PG%2025%20Nagenahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG027","Annapurna PG 26","Attur Layout, Bengaluru, Karnataka","Attur Layout","Puttena Halli","3.0","0.1","Yelahanka Metro (Upcoming)","5.7","8500","8500","Electricity + WiFi extra","Single","Fully Furnished","Attached","No","Yes","Yes","Yes","No","4.4","Yes","3.5","3.8","4.3","MagicBricks","https://maps.google.com/?q=Annapurna+PG+26+Attur+Layout+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=Annapurna%20PG%2026%20Attur%20Layout%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG028","Green Nest PG 27","Avalahalli, Bengaluru, Karnataka","Avalahalli","Puttena Halli","1.5","0.8","Yelahanka Metro (Upcoming)","6.7","11000","11000","Electricity + WiFi extra","Dormitory","Fully Furnished","Attached","Yes","No","No","No","No","4.3","Yes","4.0","4.3","4.4","JustDial","https://maps.google.com/?q=Green+Nest+PG+27+Avalahalli+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Green%20Nest%20PG%2027%20Avalahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG029","Elite Stay PG 28","Yelahanka, Bengaluru, Karnataka","Yelahanka","Yelahanka Police Station","1.7","0.2","Yelahanka Metro (Upcoming)","4.2","8500","8500","No additional charges","Dormitory","Semi Furnished","Attached","No","Yes","No","Yes","Yes","4.0","No","4.0","4.7","4.5","MagicBricks","https://maps.google.com/?q=Elite+Stay+PG+28+Yelahanka+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Elite%20Stay%20PG%2028%20Yelahanka%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG030","Annapurna PG 29","Yelahanka, Bengaluru, Karnataka","Yelahanka","Yelahanka NES Office","6.4","0.4","Yelahanka Metro (Upcoming)","4.7","10000","10000","Electricity extra","Dormitory","Fully Furnished","Shared","No","Yes","Yes","Yes","No","4.0","Yes","3.6","4.2","3.8","Google Maps","https://maps.google.com/?q=Annapurna+PG+29+Yelahanka+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Annapurna%20PG%2029%20Yelahanka%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG031","SVR Luxury PG 30","Nagenahalli, Bengaluru, Karnataka","Nagenahalli","Aradeshanahalli","4.0","0.1","Yelahanka Metro (Upcoming)","7.5","6500","6500","Maintenance included","Single","Fully Furnished","Shared","No","Yes","Yes","Yes","No","4.8","No","3.9","4.7","4.7","MagicBricks","https://maps.google.com/?q=SVR+Luxury+PG+30+Nagenahalli+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=SVR%20Luxury%20PG%2030%20Nagenahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG032","Green Nest PG 31","Yelahanka, Bengaluru, Karnataka","Yelahanka","Nagenahalli Gate","4.7","0.4","Yelahanka Metro (Upcoming)","9.9","7500","7500","Electricity extra","Triple","Semi Furnished","Shared","Yes","No","Yes","No","No","4.1","Yes","4.0","4.1","4.8","JustDial","https://maps.google.com/?q=Green+Nest+PG+31+Yelahanka+Yelahanka+Bengaluru","/static/images/triple.png","","https://www.google.com/maps/search/?api=1&query=Green%20Nest%20PG%2031%20Yelahanka%2C%20Bengaluru%2C%20Karnataka","/static/images/triple.png","Local fallback",""
"PG033","Annapurna PG 32","Nagenahalli, Bengaluru, Karnataka","Nagenahalli","CRPF","4.8","0.6","Yelahanka Metro (Upcoming)","7.5","11000","11000","Maintenance included","Single","Fully Furnished","Shared","Yes","Yes","Yes","No","Yes","4.3","No","4.5","4.5","4.6","JustDial","https://maps.google.com/?q=Annapurna+PG+32+Nagenahalli+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=Annapurna%20PG%2032%20Nagenahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG034","Sri Sai PG 33","Chikka Bommasandra, Bengaluru, Karnataka","Chikka Bommasandra","Yelahanka Police Station","1.7","0.8","Yelahanka Metro (Upcoming)","7.5","7500","7500","Maintenance included","Triple","Fully Furnished","Shared","No","No","Yes","No","No","4.1","Yes","4.1","3.6","4.8","MagicBricks","https://maps.google.com/?q=Sri+Sai+PG+33+Chikka+Bommasandra+Yelahanka+Bengaluru","/static/images/triple.png","","https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20PG%2033%20Chikka%20Bommasandra%2C%20Bengaluru%2C%20Karnataka","/static/images/triple.png","Local fallback",""
"PG035","Green Nest PG 34","Bagalur Cross, Bengaluru, Karnataka","Bagalur Cross","CRPF","0.8","0.7","Yelahanka Metro (Upcoming)","9.7","12000","12000","No additional charges","Dormitory","Fully Furnished","Attached","Yes","Yes","No","No","Yes","4.9","Yes","3.7","4.5","4.1","MagicBricks","https://maps.google.com/?q=Green+Nest+PG+34+Bagalur+Cross+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Green%20Nest%20PG%2034%20Bagalur%20Cross%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG036","Comfort Stay PG 35","Avalahalli, Bengaluru, Karnataka","Avalahalli","Aradeshanahalli","6.3","0.2","Yelahanka Metro (Upcoming)","6.1","8500","8500","Maintenance included","Single","Fully Furnished","Attached","No","Yes","No","No","No","4.1","Yes","4.2","4.7","3.9","MagicBricks","https://maps.google.com/?q=Comfort+Stay+PG+35+Avalahalli+Yelahanka+Bengaluru","/static/images/single.png","","https://www.google.com/maps/search/?api=1&query=Comfort%20Stay%20PG%2035%20Avalahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/single.png","Local fallback",""
"PG037","Comfort Stay PG 36","Rajanukunte, Bengaluru, Karnataka","Rajanukunte","Avalahalli","4.0","0.6","Yelahanka Metro (Upcoming)","9.9","9000","9000","Electricity + WiFi extra","Dormitory","Semi Furnished","Shared","No","No","Yes","Yes","Yes","4.7","Yes","3.6","4.8","4.9","JustDial","https://maps.google.com/?q=Comfort+Stay+PG+36+Rajanukunte+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Comfort%20Stay%20PG%2036%20Rajanukunte%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG038","Vivek Hostel 37","Chikka Bommasandra, Bengaluru, Karnataka","Chikka Bommasandra","Aradeshanahalli","2.6","0.5","Yelahanka Metro (Upcoming)","4.3","9000","9000","Electricity + WiFi extra","Triple","Semi Furnished","Attached","Yes","Yes","Yes","Yes","No","4.5","No","3.6","3.8","4.0","MagicBricks","https://maps.google.com/?q=Vivek+Hostel+37+Chikka+Bommasandra+Yelahanka+Bengaluru","/static/images/triple.png","","https://www.google.com/maps/search/?api=1&query=Vivek%20Hostel%2037%20Chikka%20Bommasandra%2C%20Bengaluru%2C%20Karnataka","/static/images/triple.png","Local fallback",""
"PG039","Annapurna PG 38","Bagalur Cross, Bengaluru, Karnataka","Bagalur Cross","Puttena Halli","1.8","0.8","Yelahanka Metro (Upcoming)","4.6","7000","7000","No additional charges","Dormitory","Semi Furnished","Attached","No","Yes","No","Yes","Yes","4.2","Yes","4.5","3.8","4.8","Google Maps","https://maps.google.com/?q=Annapurna+PG+38+Bagalur+Cross+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=Annapurna%20PG%2038%20Bagalur%20Cross%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG040","Lakshmi Residency PG 39","Yelahanka, Bengaluru, Karnataka","Yelahanka","Wheel And Axle Plant","5.2","0.7","Yelahanka Metro (Upcoming)","8.8","9000","9000","Electricity extra","Triple","Semi Furnished","Attached","Yes","Yes","Yes","Yes","Yes","4.4","No","4.4","4.5","4.4","JustDial","https://maps.google.com/?q=Lakshmi+Residency+PG+39+Yelahanka+Yelahanka+Bengaluru","/static/images/triple.png","","https://www.google.com/maps/search/?api=1&query=Lakshmi%20Residency%20PG%2039%20Yelahanka%2C%20Bengaluru%2C%20Karnataka","/static/images/triple.png","Local fallback",""
"PG041","SVR Luxury PG 40","Avalahalli, Bengaluru, Karnataka","Avalahalli","Singanayakanahalli","3.2","0.6","Yelahanka Metro (Upcoming)","5.8","8000","8000","No additional charges","Dormitory","Semi Furnished","Shared","Yes","Yes","No","No","Yes","4.0","Yes","4.3","4.2","4.1","Google Maps","https://maps.google.com/?q=SVR+Luxury+PG+40+Avalahalli+Yelahanka+Bengaluru","/static/images/double.png","","https://www.google.com/maps/search/?api=1&query=SVR%20Luxury%20PG%2040%20Avalahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/double.png","Local fallback",""
"PG042","Lakshmi Residency PG 41","Nagenahalli, Bengaluru, Karnataka","Nagenahalli","Aradeshanahalli","5.7","0.7","Yelahanka Metro (Upcoming)","6.5","11000","11000","Maintenance included","Triple","Fully Furnished","Shared","No","Yes","No","Yes","Yes","4.0","No","4.2","3.8","4.4","NoBroker","https://maps.google.com/?q=Lakshmi+Residency+PG+41+Nagenahalli+Yelahanka+Bengaluru","/static/images/triple.png","","https://www.google.com/maps/search/?api=1&query=Lakshmi%20Residency%20PG%2041%20Nagenahalli%2C%20Bengaluru%2C%20Karnataka","/static/images/triple.png","Local fallback",""
